STT	Phân Loại	Mã VTBB/NL	Tên VTBB/NL	Tên Trên Hóa Đơn VTBB/NL	Mã HH	Tên Sản phẩm (HH)
67	Thùng	THC0066	Thùng dùng chung Âu Việt  1kg x25 gói  (64 x36.5 x23) - Vàng	Vi lượng Basel IDA 47	HH0066	IDA Global - I - 417.1 - Flower Top Chuyên Lúa Và Rau Màu (drone) (Chai CP) - 450ml - 40
68	Thùng	THI0067	Thùng IDA Winner - Flower Top (300 gói có hộp) (52.5x50.5x18.5) - Xanh lá 	Vi lượng Basel IDA 47	HH0067	IDA Global - I - 417.2 - Flower Top Chuyên Lúa Và Rau Màu (drone) (Chai CP) - 450ml - 40
69	Thùng	THC0068	Thùng DC Chai Pet Vuông 1 Lít x 20 chai - (40x36.5x23cm) - Trắng	Vi lượng Basel IDA 47	HH0068	IDA Global - I - 417.2 - Flower Top Chuyên Lúa Và Rau Màu (drone) (Chai CP) - 450ml - 40
70	Thùng	THC0069	Thùng dùng chung AgriA	Vi lượng Basel IDA 47	HH0069	IDA Global - I - 418.1 - Flower Top Chuyên cây ăn trái (drone) (Chai CP) - 450ml - 40
71	Thùng	THI0070	Thùng IDA 30ml x 400 gói - (49.5x 43x 18.5) - Xanh lá	NPK Bổ sung Vi lượng Basel NPK 6-6-8 IDA 33	HH0070	IDA Global - I - 419.1 - Ronado (drone) (mới)- 450ml - 40
72	Hộp	HOP1289	Hộp World Green - Newfuze 200SC - SAU KHANG 20ml 1289 - 10 (9.5x6x14.5cm)	NPK Bổ sung Vi lượng Basel NPK 6-6-8 IDA 33	HH1289	IDA Global - I - 420 - Ronado (drone) - 50ml - 300
73	Hộp	HOP1290	Hộp World Green - Newfuze 200SC - SAU TO 15ml 1290 - 10 (9.5x6x14.5cm)	Vi lượng Basel IDA 49	HH1290	IDA Global - I - 421 - Tree Top (drone) - 450ml - 40
74	Thùng	THC0071	Thùng dùng chung Newfuze 200SC 15ml, 20ml x 300 gói (32x30x31cm) - Trắng	Hỗn hợp NPK BASEL NPK 7-5-44 IDA 45	HH0071	IDA Global - I - 422 - Winner (drone) - 50gr - 300
75	Thùng	THC0072	Thùng Sen Hồng chai 500ml x 40 chai (61.5x38.5x19cm) - Trắng viền xanh lá	Hỗn hợp NPK BASEL NPK 7-5-44 IDA 45	HH0072	IDA Global - I - 422 - Winner (drone) - 50gr - 300
76	Thùng	THC0073	Thùng Sen Hồng chai 1 Lít x 20 chai (45x35.5x26.5cm) - Trắng viền xanh lá	Chitin 3.6EC	HH0073	GC - II - 423 - A.M Sức Mạnh Diệt Nhện (Chai nhôm trắng) - 240ml - 60
77	Thùng	THC0074	Thùng Sen Hồng gói 25gr - 65gr x 300 gói (52.5x50.5x18.5cm) - Trắng viền xanh lá	Chitin 3.6EC	HH0074	GC - II - 424 - Agriplant - Vua Diệt Nhện (PET TRON)- 240ml - 40
78	Hộp	HOP1166	Hộp Sen Hồng gói  25gr - 65gr x 20 gói (16x10x16cm) - Trắng	Oxycin 100WP	HH1166	GC - II - 429 - Agriplant - Sức Mạnh Siêu Diệt Khuẩn - 25gr - 300
79	Thùng	THC0075	Thùng Sen Hồng 1kg x 20 gói (50x35x28.5) - Trắng viền xanh lá	Oxycin 100WP	HH0075	GC - II - 430 - PH - Diệt Sạch Khuẩn (Túi ghép giấy) 100 (clr) - 25gr - 200
80	Thùng	THC0076	Thùng Sen Hồng 100g x100 gói (46x39x21cm) - Trắng viền xanh lá	Vi lượng AV-CFC Plus	HH0076	GC - I - 432 - AU - Dưỡng Chất Hữu Cơ (túi nhôm) - 50ml - 200
81	Thùng	THC0077	Thùng dùng chung ABA chai 100ml, 120ml x 50chai (54x28x12cm) - Trắng trơn	Vi lượng AV4-BO633	HH0077	GC - II - 433 - Agriplant - Bio Siêu Ra Hoa Xoài - 1kg - 25
82	Thùng	THC0078	Thùng dùng chung ABA chai tròn 1 lít x 20 chai (20 gói/ thùng) - (45.5x35.5x27cm) - Trắng 	Vi lượng AV4-BO633	HH0078	GC - II - 434 - Ariplant - Siêu ra hoa sầu riêng (mới) - 250 gr- 100
83	Thùng	THC0079	Thùng dùng chung ABA 1kg (50x35x28.5cm) - Trắng	Leafroll 260SC	HH0079	IDA Global - I - 436 - Leafroll 260SC - 220ml - 40
84	Thùng	THC0080	Thùng dùng chung ABA Chai 250ml x 40 chai (53.5x33.5x15.5cm) - Trắng	Creek 51WG	HH0080	IDA Global - I - 442 - Creek 51WG (Dạng cốm) - 30gr - 300
85	Thùng	THC0081	Thùng Agritech chai HD 500ml x40 chai (62x37.5x19cm) - Trắng viền xanh dương	Creek 51WG	HH0081	IDA Global - I - 442.1 - Creek 51WG (mới) - 30gr - 300
86	Thùng	THC0082	Thùng Sen Hồng 100ml x100 chai (51x26x22cm) - Trắng viền xanh lá	Creek 51WG	HH0082	IDA Global - I - 442.2 - Creek 51WG (mới) - 30gr - 300
87	Thùng	THC0083	Thùng Sen Hồng Chai 250ml x 40 chai (53x33x14.5cm) - Trắng viền xanh lá	Creek 51WG	HH0083	IDA Global - I - 443 - Creek 51WG (Dạng cốm) - 150gr - 100
